IBSI_meaning	IBSI_code	pyradiomics_feature_class	pyradiomics_feature_name	pyradiomics_notes
Morphological features	HCUG			
Volume	RNU0	shape	MeshVolume	
Approximate volume	YEKZ	shape	VoxelVolume	
Surface area	C0JK	shape	SurfaceArea	Calculated using Marching Cubes
Surface to volume ratio	2PR5	shape	SurfaceVolumeRatio	
Compactness 1	SKGS	shape	Compactness1	
Compactness 2	BQWJ	shape	Compactness2	
Spherical disproportion	KRCK	shape	SphericalDisproportion	
Sphericity	QCFX	shape	Sphericity	
Asphericity	25C7			
Centre of mass shift	KLMA			
Maximum 3D diameter	L0JK	shape	Maximum3DDiameter	https://pyradiomics.readthedocs.io/en/latest/features.html#radiomics.shape.RadiomicsShape.calculateDiameters
Major axis length	TDIC	shape	MajorAxisLength	
Minor axis length	P9VJ	shape	MinorAxisLength	
Least axis length	7J51	shape	LeastAxisLength	
Elongation	Q3CK	shape	Elongation	
Flatness	N17B	shape	Flatness	
Volume density - axis-aligned bounding box	PBX1			
Area density - axis-aligned bounding box	R59B			
Volume density - oriented minimum bounding box	ZH1A			
Area density - oriented minimum bounding box	IQYR			
Volume density - approximate enclosing ellipsoid	6BDE			
Area density - approximate enclosing ellipsoid	RDD2			
Volume density - minimum volume enclosing ellipsoid	SWZ1			
Area density - minimum volume enclosing ellipsoid	BRI8			
Volume density - convex hull	R3ER			
Area density - convex hull	7T7F			
Integrated intensity	99N0			
Moran's I index	N365			
Geary's C measure	NPT7			
Local intensity features	9ST6			
Local intensity peak	VJGA			
Global intensity peak	0F91			
Intensity-based statistical features	UHIW			
Mean	Q4LE	firstorder	Mean	
Variance	ECT3	firstorder	Variance	
Skewness	KE2A	firstorder	Skewness	
Median	Y12H	firstorder	Median	
Minimum grey level	1GSF	firstorder	Minimum	
10th percentile	QG58	firstorder	10Percentile	
90th percentile	8DWT	firstorder	90Percentile	
Maximum grey level	84IY	firstorder	Maximum	
Interquartile range	SALO	firstorder	InterquartileRange	
Range	2OJQ	firstorder	Range	
Mean absolute deviation	4FUA	firstorder	MeanAbsoluteDeviation	
