Morphological features	HCUG
Volume	RNU0
Approximate volume	YEKZ
Surface area	C0JK
Surface to volume ratio	2PR5
Compactness 1	SKGS
Compactness 2	BQWJ
Spherical disproportion	KRCK
Sphericity	QCFX
Asphericity	25C7
Centre of mass shift	KLMA
Maximum 3D diameter	L0JK
Major axis length	TDIC
Minor axis length	P9VJ
Least axis length	7J51
Elongation	Q3CK
Flatness	N17B
Volume density - axis-aligned bounding box	PBX1
Area density - axis-aligned bounding box	R59B
Volume density - oriented minimum bounding box	ZH1A
Area density - oriented minimum bounding box	IQYR
Volume density - approximate enclosing ellipsoid	6BDE
Area density - approximate enclosing ellipsoid	RDD2
Volume density - minimum volume enclosing ellipsoid	SWZ1
Area density - minimum volume enclosing ellipsoid	BRI8
Volume density - convex hull	R3ER
Area density - convex hull	7T7F
Integrated intensity	99N0
Moran's I index	N365
Geary's C measure	NPT7
Local intensity features	9ST6
Local intensity peak	VJGA
Global intensity peak	0F91
Intensity-based statistical features	UHIW
Mean	Q4LE
Variance	ECT3
Skewness	KE2A
Kurtosis	IPH6
Median	Y12H
Minimum grey level	1GSF
10th percentile	QG58
90th percentile	8DWT
Maximum grey level	84IY
Interquartile range	SALO
Range	2OJQ
Mean absolute deviation	4FUA
Robust mean absolute deviation	1128
Median absolute deviation	N72L
Coefficient of variation	7TET
Quartile coefficient of dispersion	9S40
Energy	N8CA
Root mean square	5ZWQ
Intensity histogram features	ZVCW
Intensity histogram mean	X6K6
Intensity histogram variance	CH89
Intensity histogram skewness	88K1
Intensity histogram kurtosis	C3I7
Intensity histogram median	WIFQ
Intensity histogram minimum grey level	1PR8
Intensity histogram 10th percentile	GPMT
Intensity histogram 90th percentile	OZ0C
Intensity histogram maximum grey level	3NCY
Intensity histogram mode	AMMC
Intensity histogram interquartile range	WR0O
Intensity histogram range	5Z3W
Intensity histogram mean absolute deviation	D2ZX
Intensity histogram robust mean absolute deviation	WRZB
Intensity histogram median absolute deviation	4RNL
Intensity histogram coefficient of variation	CWYJ
Intensity histogram quartile coefficient of dispersion	SLWD
Intensity histogram entropy	TLU2
Intensity histogram uniformity	BJ5W
Maximum histogram gradient	12CE
Maximum histogram gradient grey level	8E6O
Minimum histogram gradient	VQB3
Minimum histogram gradient grey level	RHQZ
Intensity-volume histogram features	P88C
Volume at intensity fraction	BC2M
Intensity at volume fraction	GBPN
Volume fraction difference between intensity fractions	DDTU
Intensity fraction difference between volume fractions	CNV2
Area under IVH curve	9CMM
Grey level co-occurrence based features	LFYI
Joint maximum	GYBY
Joint average	60VM
Joint variance	UR99
Joint entropy	TU9B
Difference average	TF7R
Difference variance	D3YU
Difference entropy	NTRS
Sum average	ZGXS
Sum variance	OEEB
Sum entropy	P6QZ
Angular second moment	8ZQL
Contrast	ACUI
Dissimilarity	8S9J
Inverse difference	IB1Z
Normalised inverse difference	NDRX
Inverse difference moment	WF0Z
